sample,theta,beta_out,sigma,bEP,bCP,delta,muEI,muIR,muRS,rho,S_0,E_0,I_0,R_0,sig_obs,loglik,loglik.se,flag,file_id,ll_lowIQ
6,59.5945927501619,0.0033540364176931,0.113133303488537,0.0558517781673791,-0.0892109622728454,0.0166666666666667,15.4842413839529,55.9711140646388,2.65613142423153,0.0021876568800934,0.823099945331174,0.0075675384306678,0.0093718723150118,0.159960643923146,0.0840993787815221,-2139.8709525838,0.545398247625975,1,2865,-2140.2388237018235
10,34.9562790129003,0.0039418085837225,0.106481467311065,-0.0954358235832974,0.0185018870150772,0.0166666666666667,19.5315897213799,32.0148912629883,3.1849641396739,0.0023875337323903,0.840963625392795,0.0054237649486563,0.0028042727148512,0.150808336943697,0.0502074257780289,-2139.87963037539,1.56260289860821,1,1948,-2140.9336060305013
12,30.2748811120835,0.0047160648079879,0.106054246516259,0.109883728051331,-0.138695618121391,0.0166666666666667,19.927375567993,28.0365143731445,3.73840662571867,0.0024254831870227,0.810793893363825,0.0060924794363111,0.0024192481618635,0.180694379038001,0.0118948255011974,-2139.89284344123,1.50648019907266,1,2744,-2140.9089643355046
4,43.6368380689296,0.00011489291232521,0.118201891685344,0.0863898324982446,0.017469161265877,0.0166666666666667,16.1113184999697,36.7062397372188,2.42315960348599,0.0022437283040358,0.826521270069591,0.0051428388066056,0.0058318574587206,0.162504033665082,0.0696739712463194,-2139.9342858419,1.51319903879027,1,1429,-2140.954938593564
1,32.6254485330601,0.006737036011307,0.111108828759115,-0.030335698935906,-0.16867800863355,0.0166666666666667,19.0337839806009,29.5724243377626,1.45142011727434,0.0038020577159892,0.837947205398985,0.0057641496683663,0.0025905802954877,0.153698064637161,0.0338208672626028,-2140.00484281366,1.94283168992108,1,2830,-2141.315282788512
12,33.714122044769,0.006743963112176,0.110603165050707,0.109220466610916,-0.101456706540862,0.0166666666666667,19.4962438359962,32.429126457356,2.21410801993112,0.0025726434079748,0.869300261191545,0.0056123069157298,0.0071671941931416,0.117920237699584,0.0901488372496814,-2140.13682039726,0.430995181057318,1,3142,-2140.4275266468835
7,38.248769348373,0.0040614041475815,0.114337172176193,0.0310244107277997,-0.137236450435358,0.0166666666666667,17.3112334284826,34.474905055653,3.1558465665232,0.0021569366510543,0.849796860712754,0.006222734692688,0.0026426874603648,0.141337717134194,0.0916138651735903,-2140.18505327461,0.836029408592722,1,2675,-2140.7489551107055
15,47.4679078488601,0.0073797888476374,0.115144343563215,0.0375089439034108,-0.270709402542623,0.0166666666666667,17.7636612846529,43.2928536092941,1.83093238766432,0.0026338532271296,0.814451394012371,0.0049222396333206,0.0019230723778217,0.178703293976487,0.0928357396190888,-2140.19662648903,0.753154536677982,1,415,-2140.7046292240193
7,63.1004484663536,0.0047380182518845,0.1045988430914,-0.0166955471936071,-0.11267643331023,0.0166666666666667,16.2467941738146,60.123725186982,1.81954007923605,0.003361035711422,0.832739711939269,0.0053411505756205,0.0045761947572,0.157342942727911,0.101439965464955,-2140.21876473694,1.07386957934245,1,2744,-2140.9430897682064
1,67.0555441656189,0.0056195074712558,0.112929148444066,-0.0035616410287596,-0.0694910040645543,0.0166666666666667,15.741423309236,62.4977060030885,2.13033441618129,0.0028048708377141,0.854879767866714,0.0073077447726164,0.0034641711480953,0.134348316212575,0.109236136987651,-2140.2713260843,0.65916990548124,1,2792,-2140.715936185547
11,46.8590190628933,0.0044332593778279,0.113776219401349,0.0753628117975037,-0.0951571828208691,0.0166666666666667,16.4772319308867,39.3440815216125,1.12271428076234,0.003382075488683,0.814974636514367,0.0038410369292875,0.0054033082530319,0.175781018303313,0.0966802685470785,-2140.28092308119,1.67419355139486,1,2879,-2141.410166631606
9,35.5216647048221,0.0033568898196827,0.118889862799066,0.0062322191128326,-0.124685850111158,0.0166666666666667,18.0209311278587,29.6880305314969,1.65495422871095,0.0026520330483769,0.876693111426551,0.0060162253994536,0.0070617664745942,0.110228896699401,0.0395483240640859,-2140.28499331193,0.700231359443555,1,1874,-2140.7572993638746
11,44.9825828920621,0.0055190712004537,0.102875692325102,-0.006839257111981,-0.165510091314889,0.0166666666666667,17.8945196121493,40.7113616003512,2.85531498653846,0.0024606572290395,0.777836852249347,0.0062848245937261,0.0027364823835856,0.213141840773341,0.128598299155077,-2140.29369429576,1.98291131407747,1,1843,-2141.631167977105
5,36.8466806783288,0.0022831589710192,0.125095646446098,-0.0593839155784439,-0.0896161074703942,0.0166666666666667,19.0629460519503,33.9571072251021,2.95385979980049,0.002578745953327,0.87342106065495,0.0029698748248877,0.0066995339037681,0.116909530616394,0.0343624216638531,-2140.32470659657,0.937311117839137,1,427,-2140.956922945553
8,37.9663926581017,0.0091368267931488,0.116063570955446,0.0438485096192876,-0.119689086832257,0.0166666666666667,17.0756620066583,36.2073853549332,1.35126789938428,0.003727631344835,0.853870790462072,0.0048241345831318,0.0036978593331737,0.137607215621623,0.0612489237792613,-2140.38926818098,1.08157683386579,1,1866,-2141.118791755422
18,27.1686041899325,0.0048131262268274,0.121968071182507,0.11263497162005,-0.075996275289715,0.0166666666666667,19.5313255264885,26.1238793340035,2.2108020821193,0.0038343291363453,0.841598781868294,0.0048834556914843,0.0060738780035116,0.14744388443671,0.0379197488862203,-2140.3905743804,1.13158746437151,1,3008,-2141.1538301251185
14,33.6578009684986,0.0027088153196986,0.110953367777352,-0.0419982338479524,-0.0701968074430093,0.0166666666666667,18.8402093064531,28.5614126695723,1.82052891564898,0.0022933694438083,0.84826795453011,0.0089515390436646,0.0013523448500615,0.141428161576164,0.072958447817912,-2140.39736653133,0.809716874891134,1,3337,-2140.943520563444
3,39.2414743426038,0.0035732170271524,0.113942120285219,0.0357578145114259,-0.157840089808696,0.0166666666666667,19.1256950209156,36.297240446182,1.24943102958418,0.0042692280444623,0.845975662924748,0.0034204195990665,0.0070208988334535,0.143583018642732,0.0263916160398437,-2140.4731053377,1.42399103963146,1,220,-2141.4335872939314
11,31.4278661075014,0.00073071253022538,0.102085435148664,0.0307331839350628,-0.121676500671702,0.0166666666666667,21.0309589450478,26.9837681821075,1.6240228483079,0.0029066424870667,0.862121693493867,0.0059006266402102,0.0047757770325257,0.127201902833397,0.0777173734666837,-2140.48208466488,1.91910582166724,1,2297,-2141.7765215415943
