"parameter","smoothed","quadratic","ci_low","ci_high","mle","span","param_name"
-6.79376380458983,-2163.39493614558,-2165.72631055341,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.78951283393901,-2163.33049408627,-2165.62753088579,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.78526186328819,-2163.26632847534,-2165.52927253403,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.78101089263737,-2163.2024389802,-2165.43153549814,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.77675992198655,-2163.13882526823,-2165.3343197781,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.77250895133573,-2163.07548700684,-2165.23762537392,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.76825798068491,-2163.01242386343,-2165.1414522856,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.76400701003409,-2162.94963550539,-2165.04580051315,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.75975603938326,-2162.88712160012,-2164.95067005655,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.75550506873244,-2162.82488181502,-2164.85606091582,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.75125409808162,-2162.76291581749,-2164.76197309094,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.7470031274308,-2162.70122327493,-2164.66840658193,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.74275215677998,-2162.63980385473,-2164.57536138878,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.73850118612916,-2162.5786572243,-2164.48283751149,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.73425021547834,-2162.51778305103,-2164.39083495006,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.72999924482751,-2162.45718100232,-2164.29935370449,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.72574827417669,-2162.39685074556,-2164.20839377478,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.72149730352587,-2162.33679194817,-2164.11795516093,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.71724633287505,-2162.27700427753,-2164.02803786294,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.71299536222423,-2162.21748740104,-2163.93864188081,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.70874439157341,-2162.1582409861,-2163.84976721454,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.70449342092259,-2162.09926470011,-2163.76141386414,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.70024245027176,-2162.04055821047,-2163.67358182959,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.69599147962094,-2161.98212118458,-2163.58627111091,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.69174050897012,-2161.92395328983,-2163.49948170809,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.6874895383193,-2161.86605419362,-2163.41321362112,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.68323856766848,-2161.80842356336,-2163.32746685002,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.67898759701766,-2161.75106106643,-2163.24224139478,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.67473662636684,-2161.69396637024,-2163.1575372554,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.67048565571602,-2161.63713914218,-2163.07335443188,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.66623468506519,-2161.58057904966,-2162.98969292422,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.66198371441437,-2161.52428576007,-2162.90655273242,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.65773274376355,-2161.46825894082,-2162.82393385648,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.65348177311273,-2161.41249825929,-2162.7418362964,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.64923080246191,-2161.35700338288,-2162.66026005219,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.64497983181109,-2161.30177397901,-2162.57920512383,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.64072886116027,-2161.24680971505,-2162.49867151133,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.63647789050944,-2161.19211025842,-2162.4186592147,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.63222691985862,-2161.13767527651,-2162.33916823393,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.6279759492078,-2161.08350443671,-2162.26019856901,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
